Study,Baseline Weight,Baseline Weight SD,Baseline Weight CI,Weight Change,Weight Change SD,Weight Change CI,Baseline BMI,Baseline BMI SD,Baseline BMI CI,BMI Change,BMI Change SD,BMI Change CI,Baseline LDL,Baseline LDL SD,Baseline LDL CI,Endpoint LDL,LDL Endpoint SD,LDL Endpoint CI,Change in LDL-C,Change in LDL SD,Change in LDL CI,Baseline TG,Baseline TG SD,Baseline TG CI,Endpoint TG,Endpoint TG SD,Endpoint TG CI,Change in TG,Change in TG SD,Change in TG CI,Baseline HOMA-IR,Baseline HOMA-IR SD,Baseline HOMA-IR CI,Endpoint HOMA-IR,Endpoint HOMA-IR SD,Endpoint HOMA-IR CI,Baseline SBP,Baseline SBP SD,Baseline SBP CI,Endpoint SBP,Endpoint SBP SD,Endpoint SBP CI,change in SBP,change in SBP SD,change in SBP CI,Baseline DBP,Baseline DBP SD,Baseline DBP CI,change in DBP,change in DBP SD,change in DBP CI,Endpoint DBP,Endpoint DBP SD,Endpoint DBP CI,n,Time,Inter CI,Inter SD,Notes,Use,Percent Male,Normal weight,Link
Jabbek2010-10wks,95.6,-,9.1,-5.6,-,2.6,32.9,-,4.5,-1.9,-,0.8,127.611,-,34.803,135.345,-,42.537,7.734,-,34.803,106.284,-,70.856,79.713,-,26.571,-26.571,-,53.142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,10w,,,,x,0,No(BMI ≥ 25 kg*m-2),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2845587/
Partsalaki2012,73.7,-,14.9,-8,-,-,30,-,4.3,-3.7,-,-,105.1824,-,26.6823,110.5962,-,25.1355,10.0542,-,-,73.5131,-,30.9995,71.7417,-,34.5423,-1.7714,-,-,3.6,-,2,1.8,-,1.4,108,-,13,103,-,10,-,-,-,68,-,8,-,-,-,67,-,8,21,6m,,,completers only/in children,x,0.476,No(>95th percentile BMI),https://pubmed.ncbi.nlm.nih.gov/23155696/
Sun2019,65.1,7.3,-,-2.85,1.5,-,25,2.9,-,-1.09,0.56,-,127.611,38.67,-,162.414,46.404,-,34.416,37.897,-,88.57,44.285,-,97.427,53.142,-,7.971,57.571,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,4w,,,females only,x,0,No(BMI ≥ 23),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6950598/
Yancy2010-12w,124,-,25.7,-9.68,-,-,39.5,-,6.9,-,-,-,115.5,-,31.4,-,-,-,3.12,-,-,151.9,-,74.3,-,-,-,-41.82,-,-,-,-,-,-,-,-,135.1,-,16.4,-,-,-,-1.49,-,-,89.4,-,9.3,-2.85,-,-,-,-,-,57,12w,,,completers only,x,0.75,No(BMI27-30+disease/ or BMI >= 30),https://pubmed.ncbi.nlm.nih.gov/20101008/
Yancy2010-24w,124,-,25.7,-12.81,-,-,39.5,-,6.9,-,-,-,115.5,-,31.4,-,-,-,8.09,-,-,151.9,-,74.3,-,-,-,-42.21,-,-,-,-,-,-,-,-,135.1,-,16.4,-,-,-,-2.97,-,-,89.4,-,9.3,-4.55,-,-,-,-,-,57,24w,,,completers only,,0.75,No(BMI27-30+disease/ or BMI >= 30),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2633336/
Yancy2010-36w,124,-,25.7,-12.38,-,-,39.5,-,6.9,-,-,-,115.5,-,31.4,-,-,-,3.19,-,-,151.9,-,74.3,-,-,-,-44.95,-,-,-,-,-,-,-,-,135.1,-,16.4,-,-,-,-4.45,-,-,89.4,-,9.3,-5.11,-,-,-,-,-,57,36w,,,completers only,,0.75,No(BMI27-30+disease/ or BMI >= 30),
Yancy2010,124,-,25.7,-11.37,-,3.47,39.5,-,6.9,-,-,-,115.5,-,31.4,-,-,-,-1.91,-,6.23,151.9,-,74.3,-,-,-,-28.83,-,19.25,-,-,-,-,-,-,135.1,-,16.4,-,-,-,-5.94,-,2.86,89.4,-,9.3,-4.53,-,2.04,-,-,-,57,48w,,,completers only,,0.75,No(BMI27-30+disease/ or BMI >= 30),
Buren2021,60.8,-,10,-,-,-,22,-,2.6,-,-,-,81.207,-,23.202,70.3794,-,22.4286,-10.8276,-,-,53.142,-,26.571,11.5142,-,7.0856,-41.6279,-,-,-,-,-,-,-,-,106,-,(89–118),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,4w,,,"females only, crossover",x,0,Yes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8001988/#app1-nutrients-13-00814
Klement2013,73.7,1,,-2.3,,,,,,,,,116,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5w,,,"BMI baseline, no endpoint, given as median",x,0.583,,
Retterstol2018,61,-,8.6,-1.2,-,-,21.7,-,1.3,-0.4,-,-,85.074,-,15.468,119.877,-,30.936,34.803,-,-,61.999,-,0.7 (0.5–1.5),61.999,-,0.7 (0.4–1.5),0,-,-,-,-,-,-,-,-,114,-,9.3,116,-,10.1,2,-,-,70,-,8.9,2,-,-,72,-,8.7,15,3w,,,,x,0.067,Yes,https://www-sciencedirect-com.proxy.lib.umich.edu/science/article/pii/S0021915018314321
Urbain2017,70.3,,,-1.9,,,23.9,,,,,,110.9,31.3,,,33.6,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,6w,,,No endpoint BMI,x,0.262,Yes,
Phinney1983,73.8,,,-0.5,,,,,,,,,119,10.01798383,,,7.764663547,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4w,,,estimated SD and LDL from TC/HDL,,1,,
Sharman2002,79.2,8.3,-,-2.2,1.7,-,-,-,-,-,-,-,111.2412,31.008,,,31.008,,4.6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6w,,,"no baseline weight, no BMI",x,1,Yes,https://pubmed.ncbi.nlm.nih.gov/12097663/
Zajac2014,80.34,7.36,-,-2.08,-,-,24.93,3.01,-,-1.04,-,-,64.12,4.21,,,5.12,,10.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4w,,,crossover,,1,Yes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4113752/
Al-Sarraj2010,,,,-5.4,,,,,,,,,165.6,39.7,,,19.3,,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,6w,,,,x,0.39,,
Hyde2019,114.9,17.8,-,-3.8,-,-,39.3,8.3,-,-1.2,-,-,122,26,-,118,35,-,-4,-,-,177,58,-,120,38,-,-57,-,-,5.2,4.1,-,2.7,1.4,-,127,10,-,121,7,-,-6,-,-,84,9,-,-3,-,-,81,4,-,16,4w,,,crossover,x,0.625,No(obese),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6629108/
Sharman2004 ,109.1,17.8,-,-6.1,2.9,-,34.3,5.6,-,-,-,-,125.68,28.23,-,117.94,30.94,-,-7.74,-,-,137.28,43.4,-,77.06,21.26,-,-60.22,-,-,2.49,1.05,-,1.41,0.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,6w,,,crossover,x,1,No(overweight: % body fat > 25%),https://www.sciencedirect.com/science/article/pii/S0022316623027281?via%3Dihub
Volek2003-2w,59.8,-,4.6,-,-,-,22,-,1.8,-,-,-,113.69,25.52,-,131.86,14.31,-,18.17,-,-,76.17,28.34,-,61.11,15.06,-,-15.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,2w,,,crossover,,0,Yes(BMI<25),https://www.sciencedirect.com/science/article/pii/S0022316622161183?ref=pdf_download&fr=RR-2&rr=88632c3f5fc2b308
Volek2003-4w,59.8,-,4.6,-1.2,-,0.8,22,-,1.8,-,-,-,113.69,25.52,-,130.32,23.98,-,16.63,-,-,76.17,28.34,-,53.14,12.4,-,-23.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,4w,,,crossover,x,0,Yes(BMI<25),https://www.sciencedirect.com/science/article/pii/S0022316622161183?ref=pdf_download&fr=RR-2&rr=88632c3f5fc2b308
Volek2013,76.2,,,-2.96,,,,,,,,,113,30,,,29,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4w,,,,x,0,,
Volek2009,96.5,13.7,-,-10.1,-,-,33.5,5.2,-,-3.5,-,-,130,22,-,135,31,-,5,-,-,211,58,-,104,44,-,-107,-,-,2.9,2.5,-,1.3,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,12w,,,subjects with atherogenic dyslipidemia,x,0.5,No(BMI>25),https://aocs-onlinelibrary-wiley-com.proxy.lib.umich.edu/doi/epdf/10.1007/s11745-008-3274-2
DAlessio2003-3m,91.2,8.4,-,-7.6,-,0.7,33.17,1.83,-,-,-,-,124.86,(SE)5.39,-,113,(SE)5.34,-,-11.86,-,-,148.73,(SE)13.41,-,92.41,(SE)8.74,-,-56.32,-,-,-,-,-,-,-,-,116,(SE)3.23,-,112,(SE)2.36,-,-4,-,-,79,(SE)2.69,-,-7,-,-,72,(SE)2.06,-,22,3m,,,CHO too high,,0,No(BMI 30–35),https://academic.oup.com/jcem/article/88/4/1617/2845298?login=false
DAlessio2003-6m,91.2,8.4,-,-8.5,-,1,33.17,1.83,-,-,-,-,124.86,(SE)5.39,-,124,(SE)5.81,-,-0.86,-,-,148.73,(SE)13.41,-,113.86,(SE)15.25,-,-34.87,-,-,-,-,-,-,-,-,116,(SE)3.23,-,114,(SE)2.82,-,-2,-,-,79,(SE)2.69,-,-5,-,-,74,(SE)2.23,-,22,6m,,,CHO too high,,0,No(BMI 30–35),https://academic.oup.com/jcem/article/88/4/1617/2845298?login=false
Klein2003-3m,98.7,19.5,-,-6.7,4.94,-,33.9,3.8,-,-,-,-,129.5,30,-,-,-,-,7,24.86,-,131.1,113.8,-,-,-,-,-24.52,33.69,-,-,-,-,-,-,-,120.5,11,-,-,-,-,-3.13,13.5,-,74.6,8.5,-,-2.24,10,-,-,-,-,33,3m,,,"Cannot find actual macro intake, individuals instructed to eat less than 20 g CHO/day to start",x,0.36,No(obese),https://www.nejm.org/doi/10.1056/NEJMoa022207?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov
Klein2003-6m,98.7,19.5,-,-6.91,6.42,-,33.9,3.8,-,-,-,-,129.5,30,-,-,-,-,3.5,12.58,-,131.1,113.8,-,-,-,-,19.67,38.54,-,-,-,-,-,-,-,120.5,11,-,-,-,-,-2.77,14.1,-,74.6,8.5,-,-2.98,9.47,-,-,-,-,33,6m,,,"Cannot find actual macro intake, individuals instructed to eat less than 20 g CHO/day to start",,0.36,No(obese),https://www.nejm.org/doi/10.1056/NEJMoa022207?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov
Klein2003-12m,98.7,19.5,-,-4.34,6.61,-,33.9,3.8,-,-,-,-,129.5,30,-,-,-,-,0.4,21.5,-,131.1,113.8,-,-,-,-,-22.29,30.15,-,-,-,-,-,-,-,120.5,11,-,-,-,-,-1.21,11.33,-,74.6,8.5,-,-2.76,9.25,-,-,-,-,33,12m,,,"Cannot find actual macro intake, individuals instructed to eat less than 20 g CHO/day to start",,0.36,No(obese),https://www.nejm.org/doi/10.1056/NEJMoa022207?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov
Buga 2022,68.6,1.6,,,,,21.5,1.1,,,,,84.7,16.8,,128.9,17.7,,44.2,0.9,,69.1,8.5,,71.7,10.4,,2.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,7,6w,,,Study was <50 grams CHO per day,,1,Yes,https://www.mdpi.com/2072-6643/14/6/1135
Forsythe 2010a,95.4,13.5,,-1.3,0.2,,30,4,,-0.4,-0.3,,118,29.8,,144.1,42.9,,26.1,13.1,,122,55.9,,85.1,34.3,,-36.9,-21.6,,2,1.2,,1.6,0.5,,,,,,,,,,,,,,,,,,,,8,6w,,,"13% CHO, high SFA",,1,,https://aocs-onlinelibrary-wiley-com.proxy.lib.umich.edu/doi/epdf/10.1007/s11745-010-3467-3
Forsythe 2010b,95.4,13.5,,-2.3,0.3,,30,4,,-0.7,-0.3,,118,29.8,,125.1,29.1,,7.1,-0.7,,122,55.9,,80.4,17.5,,-41.6,-38.4,,2,1.2,,1.6,0.6,,,,,,,,,,,,,,,,,,,,8,6w,,,"13% CHO, high PUFA",,1,,https://aocs-onlinelibrary-wiley-com.proxy.lib.umich.edu/doi/epdf/10.1007/s11745-010-3467-3
