exposure,survival,n_snp,method,b,se,p,mean_F,egger_int_p,b_wmedian,b_egger,edge,pleiotropy
bloodglucose.barton,Mother's attained age,106,Inverse variance weighted,0.019112782698792758,0.008714954808097074,0.02830004849570894,136.13347581455997,0.9411966630835975,0.017852178252948825,0.018295999495952803,nominal survival edge,
HbA1C.soranzo,"Parental lifespan (combined, Martingale resid)",11,Inverse variance weighted,-0.018032309125585236,0.037648844514465415,0.6319667345148428,77.7147600022681,0.6606296168433023,0.016262917325207266,-0.05576180231101833,no clear edge,
HbA1C.soranzo,Combined parental age at death,11,Inverse variance weighted,0.009834428855490893,0.05039452743535115,0.8452765019731181,77.7147600022681,0.2702407263876101,0.03807946496767914,0.13283839286914725,no clear edge,
HbA1C.soranzo,Father's age at death,11,Inverse variance weighted,-0.009012891055252013,0.031211687129809207,0.7727600351922093,77.7147600022681,0.2266512273130622,-0.031363101765708515,-0.09199524479425146,no clear edge,
HbA1C.soranzo,Mother's attained age,11,Inverse variance weighted,-0.0306342905547679,0.03651036317270046,0.40143709745186484,77.7147600022681,0.38557242054188534,-0.018348204463740497,-0.10176297175682973,no clear edge,
schizophrenia.pgc,"Parental lifespan (combined, Martingale resid)",147,Inverse variance weighted,0.005819628420657962,0.005382406545146145,0.2795940734070622,45.10785553759463,0.3168488611991004,0.0038963966615082517,-0.013576990659667944,no clear edge,
schizophrenia.pgc,Combined parental age at death,147,Inverse variance weighted,-0.008827985615282547,0.006584354352412083,0.18000101742006613,45.10785553759463,0.35606126915642544,-0.0063240525730380755,0.013052736560622363,no clear edge,
schizophrenia.pgc,Father's age at death,147,Inverse variance weighted,-0.002184024089288085,0.004909563531356695,0.6564274585296501,45.10785553759463,0.7945913733210712,0.013026408513788168,0.002425831807897482,no clear edge,
schizophrenia.pgc,Mother's attained age,147,Inverse variance weighted,0.009852493971993913,0.004146513105000414,0.01749712988207952,45.10785553759463,0.1502777107715358,0.008379019143457433,-0.011577887153938234,nominal survival edge,
MDD.pgc,"Parental lifespan (combined, Martingale resid)",32,Inverse variance weighted,-0.008687961508989307,0.023045149497781955,0.7061755349881012,37.25761029648255,0.8985685182305628,0.028259033554215548,0.005290760821158845,no clear edge,
MDD.pgc,Combined parental age at death,32,Inverse variance weighted,-0.017184310865398282,0.028516070259653165,0.5467625248660025,37.25761029648255,0.7954814124130207,-0.007294718106388957,-0.05235117191274661,no clear edge,
MDD.pgc,Father's age at death,32,Inverse variance weighted,-0.011019847206331757,0.02145475624718305,0.6075093725737594,37.25761029648255,0.7249700521913797,0.011296582126153698,-0.046931062159452266,no clear edge,
MDD.pgc,Mother's attained age,32,Inverse variance weighted,-0.005864126524841407,0.022268826899012707,0.7922935968096515,37.25761029648255,0.8179684302060461,0.027554670567502083,0.0185329149405011,no clear edge,
bipolar.pgc,"Parental lifespan (combined, Martingale resid)",43,Inverse variance weighted,-0.02213682313286512,0.007081518023413505,0.0017720173969393697,38.60408410424315,0.8208070350239604,-0.022657507746469983,-0.03132465934389,nominal survival edge,
bipolar.pgc,Combined parental age at death,43,Inverse variance weighted,0.02763043736028301,0.011825793139395952,0.019467523359497464,38.60408410424315,0.5746685590313855,0.03568447301849039,0.06555132743468821,nominal survival edge,
bipolar.pgc,Father's age at death,43,Inverse variance weighted,0.024082886934915077,0.007596884985343462,0.0015238635618251908,38.60408410424315,0.7006354317687042,0.019676248691241065,0.007365276399124291,nominal survival edge,
bipolar.pgc,Mother's attained age,43,Inverse variance weighted,-0.013649975052589384,0.007004290541142831,0.05131908102350647,38.60408410424315,0.6619160752049321,-0.0234855558426014,-0.031180630631085848,no clear edge,
menopause.ukb,"Parental lifespan (combined, Martingale resid)",9,Inverse variance weighted,-0.007958748588024648,0.08469288043650024,0.9251315000889045,53.19680353260165,0.5406005269391807,-0.00726773495199276,0.10605598393005598,no clear edge,
menopause.ukb,Combined parental age at death,9,Inverse variance weighted,-0.07325832503581692,0.10525508134166325,0.4864241387527287,53.19680353260165,0.5551979606614083,-0.10432262643294365,-0.20996282037552016,no clear edge,
menopause.ukb,Father's age at death,9,Inverse variance weighted,-0.13629569734724942,0.09919583351315707,0.1694397354570292,53.19680353260165,0.7409514147162259,-0.19340832966784055,-0.06346165089040758,no clear edge,
menopause.ukb,Mother's attained age,9,Inverse variance weighted,-0.06305911622754558,0.07423063918904235,0.3956017197563524,53.19680353260165,0.35049523027128365,-0.05739810309037759,0.0865062255329433,no clear edge,
SBP.tang,"Parental lifespan (combined, Martingale resid)",231,Inverse variance weighted,0.01001169427894852,8.118514112916778e-4,6.096915514578981e-35,57.32576883147393,0.6307832514430112,0.009076811033310863,0.008937782930176443,STRONG survival edge (Bonferroni),
SBP.tang,Combined parental age at death,231,Inverse variance weighted,-0.009692163419861491,0.0010133942580037535,1.132257588356166e-21,57.32576883147393,0.4254351105472651,-0.00827549323801271,-0.0074702851119152,STRONG survival edge (Bonferroni),
SBP.tang,Father's age at death,231,Inverse variance weighted,-0.007794130247787558,7.812577015427064e-4,1.9337777835976142e-23,57.32576883147393,0.9622046248417802,-0.0061975605194976935,-0.007692210609802143,STRONG survival edge (Bonferroni),
SBP.tang,Mother's attained age,231,Inverse variance weighted,0.006498790809656409,6.895573771420035e-4,4.3181751567855075e-21,57.32576883147393,0.4387952533046816,0.006306209375850233,0.005029886236224227,STRONG survival edge (Bonferroni),
DBP.tang,"Parental lifespan (combined, Martingale resid)",237,Inverse variance weighted,0.016396315114694915,0.0014134082506865426,4.094314812365454e-31,54.61272813170039,0.8065201498943577,0.015713528606745245,0.01735599474040321,STRONG survival edge (Bonferroni),
DBP.tang,Combined parental age at death,237,Inverse variance weighted,-0.017546629290773705,0.0016423478006043271,1.2111585609572275e-26,54.61272813170039,0.7703501908602488,-0.015196304959508572,-0.01887480039766547,STRONG survival edge (Bonferroni),
DBP.tang,Father's age at death,237,Inverse variance weighted,-0.01285362570628875,0.0013336569420089926,5.531853533576178e-22,54.61272813170039,0.35156123156700825,-0.013808880224729723,-0.016294277804075996,STRONG survival edge (Bonferroni),
DBP.tang,Mother's attained age,237,Inverse variance weighted,0.009826781241398972,0.0011330506818764312,4.214283497624896e-18,54.61272813170039,0.5331600858002719,0.008616748944820504,0.007869906776776108,STRONG survival edge (Bonferroni),
EA.yearsofed,"Parental lifespan (combined, Martingale resid)",205,Inverse variance weighted,-0.03482185126500279,0.0030161452325676357,7.810445198116345e-31,45.185264226646616,0.6615108114626513,-0.036077563187987466,-0.029256852026102738,STRONG survival edge (Bonferroni),
EA.yearsofed,Combined parental age at death,205,Inverse variance weighted,0.05398591515074022,0.003975579009875284,5.3070681620587465e-42,45.185264226646616,0.08248604939224358,0.056920598025162396,0.024992427035686705,STRONG survival edge (Bonferroni),
EA.yearsofed,Father's age at death,205,Inverse variance weighted,0.042116293994098414,0.003174505672838551,3.595023497014392e-40,45.185264226646616,0.12629060405828732,0.0449003275584032,0.021717239486351403,STRONG survival edge (Bonferroni),
EA.yearsofed,Mother's attained age,205,Inverse variance weighted,-0.02818749301960111,0.0025557436136262614,2.766902006628298e-28,45.185264226646616,0.9808561293161716,-0.029589492709672947,-0.028445994960524756,STRONG survival edge (Bonferroni),
EA.collegecomplete,"Parental lifespan (combined, Martingale resid)",196,Inverse variance weighted,-0.3842204522886463,0.03250328774879762,3.0414518536205815e-32,46.51036922500831,0.5784179629724129,-0.4039989963044924,-0.3137848714517275,STRONG survival edge (Bonferroni),
EA.collegecomplete,Combined parental age at death,196,Inverse variance weighted,0.6410374118108447,0.043462936376156065,3.1198449658338906e-49,46.51036922500831,0.10965640246884159,0.5514563373574918,0.3706315220451142,STRONG survival edge (Bonferroni),
EA.collegecomplete,Father's age at death,196,Inverse variance weighted,0.4486253059520989,0.035709400011662375,3.3632929589905797e-36,46.51036922500831,0.15318062399517934,0.44124157005115255,0.25014955376422265,STRONG survival edge (Bonferroni),
EA.collegecomplete,Mother's attained age,196,Inverse variance weighted,-0.32432826199013676,0.02779950404617406,1.8861475373220819e-31,46.51036922500831,0.6697250611815826,-0.33754786324593394,-0.2780806886064146,STRONG survival edge (Bonferroni),
CVD.loh,"Parental lifespan (combined, Martingale resid)",208,Inverse variance weighted,0.6033909866863593,0.030075842620607696,1.5757886985047335e-89,59.495384828686554,0.23011351765361812,0.5464622875232843,0.6950415820697153,STRONG survival edge (Bonferroni),
CVD.loh,Combined parental age at death,207,Inverse variance weighted,-0.6249349156896834,0.03802185051320795,1.0531106239643593e-60,59.24835516197977,0.2402374456283094,-0.5552418679678918,-0.7379130681396225,STRONG survival edge (Bonferroni),
CVD.loh,Father's age at death,208,Inverse variance weighted,-0.510394790705848,0.028736678047921682,1.4145480920548949e-70,59.495384828686554,0.5224717725998567,-0.44909519417980803,-0.5571289468946533,STRONG survival edge (Bonferroni),
CVD.loh,Mother's attained age,208,Inverse variance weighted,0.3874107674074228,0.026884003303939405,4.44759215984837e-47,59.495384828686554,0.13314726902195703,0.3822270428438933,0.48984307678210814,STRONG survival edge (Bonferroni),
cig.liu,"Parental lifespan (combined, Martingale resid)",23,Inverse variance weighted,0.10175320385083621,0.017733934576421598,9.59323543613397e-9,100.1480952822944,0.44405775643234224,0.1264907739598297,0.12172318430620886,STRONG survival edge (Bonferroni),
cig.liu,Combined parental age at death,23,Inverse variance weighted,-0.09220438118365962,0.021256639571990803,1.4399826749691631e-5,100.1480952822944,0.7933077465125387,-0.12214904302094114,-0.08395519744816249,STRONG survival edge (Bonferroni),
cig.liu,Father's age at death,23,Inverse variance weighted,-0.08642551126747842,0.01692336863620549,3.27531990648423e-7,100.1480952822944,0.4815070624636053,-0.11341941165058594,-0.10397147153677613,STRONG survival edge (Bonferroni),
cig.liu,Mother's attained age,23,Inverse variance weighted,0.05329524979341219,0.01359598227480529,8.857601661444861e-5,100.1480952822944,0.4624859187963607,0.061013854591335286,0.03858945544334331,STRONG survival edge (Bonferroni),
alcohol.liu,"Parental lifespan (combined, Martingale resid)",34,Inverse variance weighted,0.08868589694625505,0.03972621603434548,0.025586722292359233,77.30876977745672,0.5149002668670315,0.12072609541988821,0.12360783249283175,nominal survival edge,
alcohol.liu,Combined parental age at death,33,Inverse variance weighted,-0.06643541357686836,0.03463121656586798,0.05506438058167598,78.6393356691173,0.17592715981245702,-0.10677894742725373,-0.1289140230262335,no clear edge,
alcohol.liu,Father's age at death,34,Inverse variance weighted,-0.06416039787382691,0.03814869243493241,0.09259783115510639,77.30876977745672,0.12629605131214744,-0.14009244183168335,-0.14188319014115947,no clear edge,
alcohol.liu,Mother's attained age,34,Inverse variance weighted,0.03946567372401433,0.03575683771961093,0.26971295703519343,77.30876977745672,0.61342085233201,0.0518596170419836,0.06389268083548846,no clear edge,
leanmass.pei,Combined parental age at death,571,Inverse variance weighted,0.037476573595652485,0.008625289307267385,1.3929835390533355e-5,96.97375918147446,0.657356061520006,0.05130946112852222,0.029441861564696848,STRONG survival edge (Bonferroni),
leanmass.pei,Father's age at death,571,Inverse variance weighted,0.03221411891488883,0.00739886830827668,1.3372137177047331e-5,96.97375918147446,0.6276111812625251,0.0410106366379018,0.02467512898855679,STRONG survival edge (Bonferroni),
leanmass.pei,Mother's attained age,571,Inverse variance weighted,0.0019908889824704983,0.006101435451378193,0.7441985543940872,96.97375918147446,0.008231487421306822,0.004775661824944822,0.035751629505362044,no clear edge,Egger intercept p<0.05 — directional pleiotropy
fatmass.elsworth,"Parental lifespan (combined, Martingale resid)",406,Inverse variance weighted,0.12668127608734223,0.011849789915361552,1.1264892651288439e-26,62.71201748655604,0.5067934142459443,0.13786850972441717,0.10623499529189097,STRONG survival edge (Bonferroni),
fatmass.elsworth,Mother's attained age,406,Inverse variance weighted,0.09557863594914968,0.010973372795330592,3.0373828799418983e-18,62.71201748655604,0.634312616009824,0.10490271829282091,0.08200841490391658,STRONG survival edge (Bonferroni),
